nyud 509
nyud 200
scannet scene0000_00 001325
scannet scene0002_00 000247
scannet scene0000_00 000487
scannet scene0000_02 003531
scannet scene0001_01 001097
scannet scene0002_01 000036
scannet scene0000_02 004085
scannet scene0000_01 004777
scannet scene0002_01 000662
scannet scene0000_02 000878
scannet scene0002_01 002584
scannet scene0000_02 004562
scenenet train/0/257 425
scenenet train/0/394 5850
scenenet train/0/218 4625
scenenet train/0/255 1400
scenenet train/0/54 25
scenenet train/0/495 6050
scenenet train/0/376 1975
scenenet train/0/273 6425
scenenet train/0/394 650
scenenet train/0/335 4975
scenenet train/0/174 450
scenenet train/0/136 1850
scenenet train/0/44 1375
scenenet train/0/62 5225
scenenet train/0/3 5150
scenenet train/0/442 2700
scenenet train/0/342 4450
scenenet train/0/294 3275
scenenet train/0/326 6250
scenenet train/0/225 6950
scenenet train/0/293 4050
scenenet train/0/351 5975
scenenet train/0/161 375
scenenet train/0/264 7100
scenenet train/0/19 6350
scenenet train/0/160 3700
scenenet train/0/288 4275
scenenet train/0/438 6225
scenenet train/0/148 3675
scenenet train/0/337 2850
scenenet train/0/266 4425
scenenet train/0/290 4675
scenenet train/0/66 5275
scenenet train/0/200 2200
nyud 9
nyud 881
scannet scene0000_00 001121
scannet scene0000_02 003257
scannet scene0000_00 005434
scannet scene0000_02 004700
scannet scene0002_00 000434
scannet scene0000_02 005486
scannet scene0000_00 004478
scannet scene0000_02 004472
scannet scene0002_01 001653
scannet scene0000_01 002693
scannet scene0000_00 003109
scannet scene0000_01 004583
scenenet train/0/60 1150
scenenet train/0/357 5950
scenenet train/0/15 4200
scenenet train/0/106 150
scenenet train/0/268 175
scenenet train/0/446 3675
scenenet train/0/246 975
scenenet train/0/344 1575
scenenet train/0/296 7025
scenenet train/0/280 6500
scenenet train/0/168 4750
scenenet train/0/61 150
scenenet train/0/68 3400
scenenet train/0/203 2200
scenenet train/0/303 5825
scenenet train/0/304 4300
scenenet train/0/227 4375
scenenet train/0/189 3025
scenenet train/0/52 6800
scenenet train/0/418 3075
scenenet train/0/131 1150
scenenet train/0/448 1225
scenenet train/0/180 1475
scenenet train/0/417 325
scenenet train/0/354 5325
scenenet train/0/224 1025
scenenet train/0/413 2675
scenenet train/0/443 7175
scenenet train/0/409 7275
scenenet train/0/428 6750
scenenet train/0/257 850
scenenet train/0/217 7375
scenenet train/0/251 5575
scenenet train/0/35 3700
nyud 1266
nyud 515
scannet scene0000_01 002901
scannet scene0002_01 003284
scannet scene0000_02 000072
scannet scene0002_01 005225
scannet scene0000_01 004976
scannet scene0000_01 000761
scannet scene0000_01 005313
scannet scene0000_01 003272
scannet scene0001_00 000786
scannet scene0000_00 002057
scannet scene0000_02 000248
scannet scene0002_01 002370
scenenet train/0/384 2925
scenenet train/0/403 1200
scenenet train/0/48 5925
scenenet train/0/94 5975
scenenet train/0/405 4650
scenenet train/0/410 5950
scenenet train/0/278 7000
scenenet train/0/272 2125
scenenet train/0/6 3450
scenenet train/0/228 4300
scenenet train/0/142 6300
scenenet train/0/412 1725
scenenet train/0/483 1075
scenenet train/0/169 1600
scenenet train/0/191 750
scenenet train/0/479 6975
scenenet train/0/430 7400
scenenet train/0/498 1775
scenenet train/0/94 1800
scenenet train/0/252 2650
scenenet train/0/386 6250
scenenet train/0/412 975
scenenet train/0/157 6250
scenenet train/0/324 6875
scenenet train/0/331 1675
scenenet train/0/171 125
scenenet train/0/409 5200
scenenet train/0/97 4400
scenenet train/0/145 4725
scenenet train/0/272 3250
scenenet train/0/53 6725
scenenet train/0/429 4400
scenenet train/0/0 3025
scenenet train/0/265 6500
nyud 664
nyud 1184
scannet scene0000_00 005187
scannet scene0000_02 000091
scannet scene0000_02 000608
scannet scene0000_01 001700
scannet scene0002_01 001171
scannet scene0000_01 001201
scannet scene0000_02 000261
scannet scene0002_00 001033
scannet scene0002_01 002696
scannet scene0002_00 001144
scannet scene0000_02 001903
scannet scene0001_00 001543
scenenet train/0/58 3650
scenenet train/0/435 750
scenenet train/0/311 3275
scenenet train/0/148 2475
scenenet train/0/25 2725
scenenet train/0/137 7375
scenenet train/0/481 950
scenenet train/0/401 6675
scenenet train/0/286 4575
scenenet train/0/238 6825
scenenet train/0/269 1000
scenenet train/0/72 5125
scenenet train/0/147 600
scenenet train/0/385 400
scenenet train/0/476 6275
scenenet train/0/459 2225
scenenet train/0/272 3950
scenenet train/0/337 1150
scenenet train/0/195 1025
scenenet train/0/338 1575
scenenet train/0/176 5275
scenenet train/0/47 5375
scenenet train/0/235 2675
scenenet train/0/87 700
scenenet train/0/232 5425
scenenet train/0/14 7375
scenenet train/0/391 4950
scenenet train/0/217 2200
scenenet train/0/331 7225
scenenet train/0/141 975
scenenet train/0/269 175
scenenet train/0/315 6300
scenenet train/0/133 5375
scenenet train/0/163 2250
nyud 456
nyud 352
scannet scene0001_01 000827
scannet scene0002_00 000334
scannet scene0000_00 004581
scannet scene0000_01 002913
scannet scene0001_00 000124
scannet scene0000_00 003644
scannet scene0002_01 001325
scannet scene0000_02 004639
scannet scene0000_00 000286
scannet scene0000_01 000541
scannet scene0002_01 003248
scannet scene0000_02 003659
scenenet train/0/180 1075
scenenet train/0/492 4225
scenenet train/0/254 6375
scenenet train/0/149 2725
scenenet train/0/45 3950
scenenet train/0/489 3900
scenenet train/0/335 2425
scenenet train/0/96 6525
scenenet train/0/321 4925
scenenet train/0/430 1100
scenenet train/0/373 4975
scenenet train/0/149 5825
scenenet train/0/366 5900
scenenet train/0/194 7150
scenenet train/0/343 6625
scenenet train/0/68 4625
scenenet train/0/497 6775
scenenet train/0/177 6950
scenenet train/0/169 525
scenenet train/0/166 3725
scenenet train/0/443 650
scenenet train/0/337 4875
scenenet train/0/89 5625
scenenet train/0/331 1150
scenenet train/0/366 4225
scenenet train/0/27 1000
scenenet train/0/85 2775
scenenet train/0/471 6700
scenenet train/0/261 250
scenenet train/0/354 6375
scenenet train/0/52 3950
scenenet train/0/98 2425
scenenet train/0/415 3375
scenenet train/0/319 1125
nyud 855
nyud 1164
scannet scene0000_01 000915
scannet scene0000_01 004821
scannet scene0001_00 000213
scannet scene0000_01 002436
scannet scene0000_01 003829
scannet scene0002_00 001415
scannet scene0000_02 004014
scannet scene0000_01 003384
scannet scene0000_01 000368
scannet scene0002_01 000240
scannet scene0000_01 001054
scannet scene0002_01 001268
scenenet train/0/72 1500
scenenet train/0/252 6775
scenenet train/0/285 1425
scenenet train/0/238 6575
scenenet train/0/31 2375
scenenet train/0/341 6525
scenenet train/0/175 2725
scenenet train/0/47 3350
scenenet train/0/251 3475
scenenet train/0/15 2775
scenenet train/0/425 1525
scenenet train/0/65 3475
scenenet train/0/328 400
scenenet train/0/376 1875
scenenet train/0/493 3425
scenenet train/0/106 1100
scenenet train/0/163 3825
scenenet train/0/180 3375
scenenet train/0/3 4925
scenenet train/0/22 7050
scenenet train/0/88 7225
scenenet train/0/461 5775
scenenet train/0/416 3200
scenenet train/0/424 7250
scenenet train/0/442 2800
scenenet train/0/45 5500
scenenet train/0/471 5200
scenenet train/0/94 3625
scenenet train/0/472 2500
scenenet train/0/148 4200
scenenet train/0/403 4700
scenenet train/0/23 5300
scenenet train/0/358 4075
scenenet train/0/372 1275
nyud 872
nyud 644
scannet scene0000_01 000232
scannet scene0001_00 000236
scannet scene0000_02 004647
scannet scene0000_00 000798
scannet scene0000_00 000025
scannet scene0000_02 002790
scannet scene0002_00 000233
scannet scene0000_01 004074
scannet scene0000_02 001734
scannet scene0000_01 000207
scannet scene0000_02 002473
scannet scene0000_02 002808
scenenet train/0/457 3300
scenenet train/0/196 6150
scenenet train/0/74 775
scenenet train/0/219 50
scenenet train/0/491 5725
scenenet train/0/480 6550
scenenet train/0/66 5475
scenenet train/0/233 2875
scenenet train/0/165 4000
scenenet train/0/7 6450
scenenet train/0/485 3700
scenenet train/0/109 4925
scenenet train/0/72 6850
scenenet train/0/378 5350
scenenet train/0/245 7050
scenenet train/0/71 6025
scenenet train/0/162 900
scenenet train/0/454 5375
scenenet train/0/255 1275
scenenet train/0/82 5875
scenenet train/0/25 2000
scenenet train/0/297 1900
scenenet train/0/423 3600
scenenet train/0/348 4925
scenenet train/0/432 500
scenenet train/0/212 1825
scenenet train/0/240 4750
scenenet train/0/371 5000
scenenet train/0/373 4525
scenenet train/0/49 300
scenenet train/0/366 7400
scenenet train/0/328 5025
scenenet train/0/285 25
scenenet train/0/351 3850
nyud 1004
nyud 253
scannet scene0002_01 004718
scannet scene0002_01 002672
scannet scene0000_01 005145
scannet scene0000_01 001909
scannet scene0000_01 002891
scannet scene0000_02 001051
scannet scene0001_00 001438
scannet scene0000_01 002153
scannet scene0001_01 000646
scannet scene0000_02 003717
scannet scene0000_00 004113
scannet scene0002_01 001947
scenenet train/0/454 2550
scenenet train/0/348 2975
scenenet train/0/202 6625
scenenet train/0/418 7200
scenenet train/0/226 2075
scenenet train/0/283 5825
scenenet train/0/204 850
scenenet train/0/261 4100
scenenet train/0/270 1400
scenenet train/0/144 650
scenenet train/0/446 2650
scenenet train/0/418 7325
scenenet train/0/191 4025
scenenet train/0/466 6125
scenenet train/0/91 6375
scenenet train/0/136 4925
scenenet train/0/50 5400
scenenet train/0/450 3625
scenenet train/0/210 6275
scenenet train/0/385 3350
scenenet train/0/16 6275
scenenet train/0/56 3725
scenenet train/0/74 3550
scenenet train/0/269 425
scenenet train/0/33 5125
scenenet train/0/69 5550
scenenet train/0/479 5975
scenenet train/0/424 5375
scenenet train/0/132 3250
scenenet train/0/141 3300
scenenet train/0/172 6000
scenenet train/0/202 3500
scenenet train/0/373 1475
scenenet train/0/293 1975
nyud 425
nyud 1071
scannet scene0000_01 002915
scannet scene0001_00 000736
scannet scene0002_00 000203
scannet scene0000_01 003920
scannet scene0000_00 000896
scannet scene0000_00 005198
scannet scene0002_00 000725
scannet scene0000_02 002264
scannet scene0002_01 002387
scannet scene0001_00 001178
scannet scene0002_00 000852
scannet scene0002_01 005003
scenenet train/0/173 5750
scenenet train/0/475 1275
scenenet train/0/201 7075
scenenet train/0/231 5075
scenenet train/0/481 7025
scenenet train/0/84 5750
scenenet train/0/382 575
scenenet train/0/459 1375
scenenet train/0/112 2375
scenenet train/0/156 6500
scenenet train/0/326 2450
scenenet train/0/7 450
scenenet train/0/141 2200
scenenet train/0/381 3325
scenenet train/0/244 725
scenenet train/0/56 2350
scenenet train/0/449 3275
scenenet train/0/24 225
scenenet train/0/428 2175
scenenet train/0/47 6800
scenenet train/0/19 4550
scenenet train/0/63 6825
scenenet train/0/136 2550
scenenet train/0/190 3950
scenenet train/0/393 5225
scenenet train/0/492 3025
scenenet train/0/452 6825
scenenet train/0/325 1450
scenenet train/0/236 5125
scenenet train/0/416 2950
scenenet train/0/75 3675
scenenet train/0/498 4875
scenenet train/0/223 5375
scenenet train/0/346 5125
nyud 349
nyud 1169
scannet scene0000_00 005280
scannet scene0000_00 004634
scannet scene0000_02 004752
scannet scene0000_00 004743
scannet scene0000_01 001822
scannet scene0000_02 001679
scannet scene0002_01 000506
scannet scene0002_01 002425
scannet scene0002_01 000171
scannet scene0000_02 000812
scannet scene0000_01 003708
scannet scene0002_01 001725
scenenet train/0/451 4350
scenenet train/0/96 1725
scenenet train/0/184 500
scenenet train/0/232 5700
scenenet train/0/396 4150
scenenet train/0/137 325
scenenet train/0/14 1750
scenenet train/0/177 5525
scenenet train/0/442 1350
scenenet train/0/257 5675
scenenet train/0/414 5225
scenenet train/0/403 5125
scenenet train/0/269 2950
scenenet train/0/282 3275
scenenet train/0/398 4825
scenenet train/0/194 5625
scenenet train/0/50 3325
scenenet train/0/56 1400
scenenet train/0/496 225
scenenet train/0/122 950
scenenet train/0/312 5725
scenenet train/0/97 25
scenenet train/0/253 6875
scenenet train/0/283 6675
scenenet train/0/3 1450
scenenet train/0/495 5775
scenenet train/0/349 5750
scenenet train/0/399 4400
scenenet train/0/441 7175
scenenet train/0/318 3400
scenenet train/0/270 4050
scenenet train/0/398 3950
scenenet train/0/462 1200
scenenet train/0/396 600
nyud 311
nyud 493
scannet scene0001_00 000054
scannet scene0000_02 004132
scannet scene0001_00 001382
scannet scene0002_01 002905
scannet scene0002_01 003640
scannet scene0000_02 003929
scannet scene0000_01 000916
scannet scene0000_00 001468
scannet scene0001_01 000225
scannet scene0002_01 000721
scannet scene0000_00 002968
scannet scene0002_01 003449
scenenet train/0/264 700
scenenet train/0/236 7075
scenenet train/0/387 3400
scenenet train/0/398 6750
scenenet train/0/359 6025
scenenet train/0/346 1025
scenenet train/0/30 7375
scenenet train/0/158 5775
scenenet train/0/327 800
scenenet train/0/110 2725
scenenet train/0/39 575
scenenet train/0/62 5600
scenenet train/0/62 3700
scenenet train/0/456 2775
scenenet train/0/414 4350
scenenet train/0/266 550
scenenet train/0/162 3025
scenenet train/0/74 5625
scenenet train/0/287 5100
scenenet train/0/15 5950
scenenet train/0/47 525
scenenet train/0/401 2175
scenenet train/0/480 4500
scenenet train/0/393 1900
scenenet train/0/164 2300
scenenet train/0/163 5100
scenenet train/0/432 2175
scenenet train/0/171 5725
scenenet train/0/31 5850
scenenet train/0/460 5950
scenenet train/0/18 2325
scenenet train/0/357 250
scenenet train/0/431 250
scenenet train/0/37 3225
nyud 428
nyud 134
scannet scene0000_00 000045
scannet scene0000_00 001504
scannet scene0000_02 001909
scannet scene0000_02 003912
scannet scene0001_00 001239
scannet scene0002_01 000647
scannet scene0000_01 001876
scannet scene0002_00 000568
scannet scene0002_00 000912
